,query,response,rewards,ref_response,ref_rewards,full_kls,kls
0,We saw this in a bargain, bin and we loved it more than I love any other comic book. I write,0.9989025592803955," w/ Bond villain B lower than 5"" in profile. If you haven't",0.02260509319603443,4.799432277679443,-0.9505480527877808
1,First i will say that i am, a big fan of the writing league of great writers of the 80's~ the,0.9985387325286865," not familiar with much much cinema about romance, but i have a good time cheering",0.998819887638092,5.282229900360107,1.1300886869430542
2,This excruciating," but glorious 4th gas meeting promise, is settled into watching Audrey and Dr.",0.9982080459594727, horror movie is and continues to be that of Rizal (Parisia,0.001065302174538374,6.017451763153076,1.1796449422836304
3,This movie should have been billed, like this. This movie is an interesting thriller halfheartedly inspired by one movie he,0.0005216547288000584," as ""documentary"", else the tbreakfasts at the movies ""host",0.0011150588979944587,7.972191333770752,-4.685063362121582
4,***MILD SPOIL,ERS<br /><br />And that´s what I really liked about,0.9981861710548401,ERS BELOW}<|endoftext|>,0.015223580412566662,5.285408973693848,-1.2218618392944336
5,I was not expecting a," masterpiece of thoughtist architecture, but it does', see for yourself.<br /",0.9986394047737122," great film, so I gave it a chance to shine for sure.<br /",0.9954054355621338,6.227060794830322,-2.236795425415039
6,I've always loved horror f,"/OMD monsters and the setting, and I loved The Beast, the Beast",0.9987627267837524,"licks. Horror has always just been bigger than horror movies!"" There the fear",0.9983307719230652,5.797445297241211,7.900961875915527
7,A rather disappointing film. The club," atmosphere is kinda nice and, although the plot is a little rough, beautiful.",0.000498628243803978," members, if any exist in existence at all, gave him sex, his face",0.0004962980165146291,3.7580442428588867,0.6469234228134155
8,This movie is, well crafted and well acted with the performances numerous subtly addressed or worked many evenings after,0.9989131689071655," hilarious. Levin's comedic style is priceless! For example, when hitting the ph",0.9988580942153931,3.7684459686279297,3.4334452152252197
9,The sequel that no one asked, was if we could write smarter.<|endoftext|>,0.0013409001985564828, us to believe inspired the Batman Begins? The same plot as #10.<|endoftext|>,0.0010708526242524385,4.211411952972412,-12.628604888916016
10,This movie, is very about touching stories.<|endoftext|>,0.9985344409942627," is a total mess. Or is it? In 1975, Ted Talks Chilling",0.0005034416099078953,3.3509938716888428,-5.350470542907715
11,what a waste, ) This film examines urban life and the ways in which happiness and sulfur resonance are,0.9783677458763123, of paper the whole thing was!! Wasn't the movie done right??<|endoftext|>,0.0005056896479800344,4.562744617462158,1.400984287261963
12,This was the, first movie I really had to see. I fell in love with this movie and,0.9989354014396667, MST3K street soundtrack. Rhythm & Blues installments (by some awful State,0.0017547932220622897,4.473966598510742,-0.24377590417861938
13,I was wondering what possessed, Rudy! I want more Marilyn Ironwood movies!!! I love Sean Young! He,0.9987890124320984, me to shop this for years... of course I have in fact bought the DVD,0.002306526992470026,5.846345901489258,6.044066429138184
14,Dorothy," Jane approval; everyone else is fearless. They show me photos, many different kinds",0.998446524143219," is beginning to explore a possible past, her father is a mansion tugging on",0.9964303374290466,6.498588562011719,4.2678728103637695
15,alright this movie might," have. Our readers should like this, but I loved this show and it proved",0.9989104270935059, be the cutest.<br /><br />From Harrison Ford's thriller Sean,0.9983003735542297,5.010411739349365,7.5679473876953125
16,Little did I know that when," someone who has seen this film commented on it, I decided to get it cast",0.9925565123558044, someone recommends that Robert Altman play his daughter I never see a fully realized character,0.0009702700190246105,6.102948188781738,-0.6139822006225586
17,"OK, yes I know"," this was my first, but I'm still sure that the women's comment did",0.9895406365394592," someone who obviously received this sort of love and tried to exact revenge, but this",0.002249065786600113,8.495609283447266,-6.594851016998291
18,I don,'t mind showing one thing but it's still a magnificent film. <br /,0.9988596439361572,'t really think of this film as another remake of the Tryra (see:,0.0036460754927247763,5.892864227294922,8.803248405456543
19,It borrowed scenes from LOT,R and Bowie's music into a cohesive all to star performance.<br /><,0.9988760352134705,"R and dies in an accident where he appears for a few moments, then it",0.0005864905542694032,4.447357177734375,6.59185791015625
20,"""The Italian Job"" is", a timeless and really brilliantly acted film. Dear Carlin's wonderful voice adds warmth,0.9988762736320496, my favorite.<|endoftext|>,0.9979327917098999,4.176853179931641,3.9021096229553223
21,The Man with Bogart, looks promising.<br /><br />The US has proved their devotion to us,0.996745228767395," Rerupting the Great Silence"" ponder a question 0: Wacko,",0.005304273683577776,3.154060125350952,2.0515964031219482
22,Where should I begin,? This is flawless to the point. It is the finest expression of cinema I,0.9988810420036316,"..?"" fan reaction, something you usually'll find in small bands of kittens.",0.004407704342156649,5.555436134338379,10.092809677124023
23,I have no idea, why. It comes together wonderfully. <br /><br />My heavenly sister,0.99874347448349," why this terrible movie came out, but The Seed might have been responsible for a",0.000508503639139235,5.409911155700684,4.705423355102539
24,If regarded as," venture director, producer, executive, sparkling vision talent... it is a wonderful journey",0.9988614320755005," a problem,picking at the lot of plastic from the local shop, it's",0.001566169667057693,4.957399368286133,7.708040714263916
25,As a sci-fi," film wide, it's still good for the understanding it has and a believable character",0.9986888766288757, author that follows the series he created several books and tried to spell 'cured,0.0007850480615161359,9.918440818786621,1.9794760942459106
26,This movie, is AGAIN TRIVED!!! It is well paced and Ho level script which,0.01331166923046112," really was about an older, overweight woman (WYadly) who lived",0.004658040590584278,5.901103973388672,1.5865726470947266
27,I never heard, of yet. And there is plenty of supporting cast to keep me interested.<|endoftext|>,0.9978715181350708," anything in my life about a Hugh Jackman, though I've seen him share",0.005478729028254747,5.7088751792907715,1.6429414749145508
28,The main character of," the story are her, the young hero of the book Strongman, Clan Grey",0.9969135522842407, Viva la ZuEl is a female rendered naked beauty who has pooped,0.008063150569796562,2.438243865966797,3.761396884918213
29,this movie was, filmed in one afternoon and the little hallway they left at her room was the wonder,0.9976801872253418, hitting an incredible rate from the beginning. It's just as predictable and fails miser,0.0004957395722158253,7.49790620803833,-2.381383180618286
